Food table no.,Food,Lab code,Water (g),Protein (g),Fat (g),Total carbohydrate (g),Cholesterol (mg),Phytosterols (mg),SFA (g),MUFA (g),PUFA (g),Not identified (g),
308,coconut oil,583,,,,,,,,79.9,12.6,7.5,
311,palm oil,584,,,,,,,,49.4,40.3,10.1,0.2
711,palm kernel oil,585,,,,,,,,83.7,15,3.6,
712,margarine,619,15.3,,84.7,,143,56,40.9,44.5,8,,
317,mike (luto),755,51.9,7.2,1.3,39.6,,68.7,10.1,20.7,0.5,,
967,mamon,742,15.2,5.9,15.2,63.7,,85.7,8.4,4.7,1.2,,
972,american loaf,743,25.6,10.7,5.4,58.3,,69.9,11.6,14.7,4.8,,
978,pan de sal (bread),744,26.3,8.4,4.7,60.6,,70.3,10.6,16.1,3,,
1351,biscuits marie,781,4.2,9.1,9.1,77.6,10,75.6,11.9,11,1.5,,
1703,biscuits favorita,782,3.3,6.7,17.4,72.6,,89.4,7.1,3.5,,,
1704,rice-krupek,784,3.4,8.4,19.5,68.7,,75.9,12.5,8.9,2.7,,
333,coconut milk,763,71.2,2.2,17.4,9.2,,91.3,7.4,1.3,,,
1015,peanut butter,780,0.5,21.3,43.4,34.8,,32.5,37.2,29.9,0.4,,
1712,fried peanuts,785,1.7,23.9,47,27.4,,31.4,36.1,31.5,1,,
1068,dunguana,751,80.9,7.6,9.8,1.7,48,55.8,37.9,4.9,1.4,,
1587,bopiz,779,80.3,8.8,7.7,3.2,150,67.4,22.9,8.5,1.2,,
1701,beef mami,753,86.4,2.8,2.1,8.7,12,55.4,36.8,6.1,1.7,,
1705,mungbean sotanghon,752,83.6,3.5,1.2,11.7,,81.3,8.6,9.9,0.2,,
595,beef (lean prepared),761,51.6,34.1,9.5,,99,63.7,28.2,6.9,1.2,,
664,chicken (lean meat prepared),774,58.4,27.3,10.9,,115,61.3,27.2,11.3,0.2,,
1089,cured pork meat (raw),749,65.4,16.8,8.6,,30,46.1,42.3,9.4,2.2,,
1102,hot dogs (unprepared),746,57.9,11.5,27.2,,55,39.7,47.4,10.9,2,,
1165,balut,762,52.4,38.2,7.1,,528,50,31.2,13.9,4.9,,
1816,chicken wings (prepared),773,58.6,22.6,13.9,,91,63.2,25.8,8,3,,
1817,hot dogs (prepared),745,52.4,38.2,7.1,,528,50,31.2,13.9,4.9,,
1818,longanisa (prepared),770,58.6,22.6,13.9,,91,63.2,25.8,8,3,,
1819,cured pork meat (prepared),760,52.4,38.2,7.1,,528,50,31.2,13.9,4.9,,
1820,pork (lean meat prepared),771,52.4,38.2,7.1,,528,50,31.2,13.9,4.9,,
1821,pork (medium fat prepared),772,52.4,38.2,7.1,,528,50,31.2,13.9,4.9,,
749,fish (fat raw (Bangus)),747,29.6,40.8,12.3,,126,78.7,14.7,6.4,0.2,,
1226,ayungin (dried),759,41.5,34,19,,110,73.4,15.8,12,,,
1810,fish (fat prepared (Bangus)),748,78.7,18.2,1.1,,68,50.2,25.9,21.7,2.3,,
1811,tunsoy (dried prepared),768,60.4,23.8,9.7,,98,53.7,11.4,5.7,,,
1812,tamban (dried prepared),769,75.4,20.9,3.1,,110,55,31.1,10.8,3.2,,
1814,tamban smoked (prepared),767,60.4,23.8,9.7,,98,53.7,11.4,5.7,,,
1830,fish (lean raw),775,78.7,18.2,1.1,,68,50.2,25.9,21.7,2.3,,
1831,fish (lean prepared),776,60.4,23.8,9.7,,98,53.7,11.4,5.7,,,
1832,fish (medium fat raw),777,75.4,20.9,3.1,,110,55,31.1,10.8,3.2,,
1833,fish (medium fat prepared),778,60.4,23.8,9.7,,98,53.7,11.4,5.7,,,
1153,evaporated filled milk,786,73.4,7.7,7.3,11.6,5,84.9,9.6,5.1,0.4,,
1155,condensed sweetened filled milk,783,73.4,7.7,7.3,11.6,5,84.9,9.6,5.1,0.4,,
1302,margarine,757,10,,89.5,,,86.8,9.9,2.8,0.5,,
1711,margarine-dairy cream,756,17.6,,83,,,76.5,19.5,3.7,0.3,,
1310,ceylon moss beverage,754,91.8,,,,,,,,,,
1029,turon,741,43.4,2,11.7,42.9,,86.8,8.1,4.2,0.9,,
1708,halo-halo,750,77.7,1.6,0.9,19.8,,73.3,15.7,8.9,2.1,,
10098,biscotti farciti A,697,0.4,4.9,25.3,69.4,,86.3,5.5,5,3.2,,
10098,biscotti farciti B,698,1.2,7.1,23.2,65.5,20,57.7,28.6,16.5,,,
10098,biscotti farciti C,699,0.8,4.7,24.3,70.2,,71.8,20.5,7.2,0.5,,
